Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Emit_Timestamp
2020-01-25 06:46:21,110.28.116.226,115.219.47.198,45799,49125,UDP,268,Control,DNS,"Nesciunt doloremque ullam cumque minus numquam molestiae.
Unde voluptates ex. Veritatis similique blanditiis tempore omnis.",,42.92,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Yasmin Sabharwal,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/5237-09-16 23:50:54 Firefox/5.0,Segment C,"Tiruppur, Uttarakhand",,,Alert Data,Firewall,2026-03-26 15:03:53
2023-08-13 12:27:00,197.156.56.26,217.221.6.179,7663,45103,UDP,105,Data,FTP,Distinctio aperiam adipisci exercitationem fuga iusto. Accusantium libero praesentium deserunt placeat. Delectus mollitia consequuntur tenetur eaque laudantium.,,66.6,,Intrusion,Known Pattern A,Blocked,Medium,Hiran Loke,Opera/8.11.(Windows NT 5.01; es-EC) Presto/2.9.180 Version/10.00,Segment B,"Varanasi, Mizoram",121.218.92.89,,,Server,2026-03-26 15:03:53
2021-03-24 09:50:44,123.233.44.106,154.223.194.82,38169,9878,TCP,1497,Control,HTTP,Iusto voluptas nesciunt dignissimos incidunt. Enim quasi quidem impedit quos.,,82.8,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Tara Deol,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/531.34.5 (KHTML, like Gecko) Version/5.0 Safari/531.34.5",Segment C,"Bhatpara, West Bengal",98.113.146.243,,Alert Data,Server,2026-03-26 15:03:53
2022-04-13 07:29:06,177.75.116.181,67.33.180.135,13442,51091,ICMP,1313,Control,DNS,Magni unde delectus iste sequi expedita dolorum. Dicta ad veniam corrupti a explicabo voluptatem. Magni necessitatibus repellendus quibusdam. Cum sequi accusantium blanditiis sequi deserunt.,IoC Detected,15.6,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Shray Ben,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.1),Segment B,"Fatehpur, Uttarakhand",149.23.181.95,Log Data,,Server,2026-03-26 15:03:53
2023-07-22 04:01:37,207.88.254.245,200.227.187.224,35784,50336,UDP,467,Data,HTTP,Officiis consectetur mollitia beatae facilis. Earum fuga laborum tempore aspernatur necessitatibus similique. Doloribus ut facere.,IoC Detected,2.81,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Anay Venkatesh,"Mozilla/5.0 (Linux; Android 5.1.1) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/25.0.842.0 Safari/532.1",Segment A,"Narasaraopet, Madhya Pradesh",,,Alert Data,Server,2026-03-26 15:03:53
2020-04-06 00:42:32,218.39.134.140,82.10.19.60,19233,45090,ICMP,98,Data,HTTP,"Molestias ipsum rerum minima facere ullam. Veniam cupiditate expedita alias laudantium.
Et laudantium blanditiis exercitationem maiores aliquam ratione. Iure nulla placeat sequi quasi.",,73.85,,DDoS,Known Pattern A,Logged,Medium,Aarna Dass,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.0),Segment C,"Shahjahanpur, West Bengal",102.49.234.174,,Alert Data,Server,2026-03-26 15:03:54
2022-04-06 05:46:41,64.155.37.170,183.11.152.213,56406,35509,ICMP,740,Data,DNS,"Animi perspiciatis saepe. Quam dolorem officia vitae aut occaecati.
Beatae perferendis nulla. Vero facilis ut animi animi eum.",IoC Detected,83.95,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Akarsh Balay,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.1),Segment C,"Amaravati, Telangana",,,Alert Data,Firewall,2026-03-26 15:03:54
2023-07-07 03:00:41,114.54.166.243,10.74.171.44,31996,56069,ICMP,656,Data,FTP,"Deleniti sed labore neque. Aspernatur tempore assumenda nesciunt voluptates ut. Eaque distinctio delectus.
Consequuntur nesciunt suscipit dolorum vero ad consequatur. Laboriosam aut vero.",IoC Detected,43.5,,Intrusion,Known Pattern A,Ignored,Medium,Ivana Rout,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_7 rv:4.0; as-IN) AppleWebKit/532.14.5 (KHTML, like Gecko) Version/4.0.4 Safari/532.14.5",Segment B,"Bilaspur, Rajasthan",,,Alert Data,Server,2026-03-26 15:03:54
2021-05-15 09:35:16,144.128.102.97,210.11.126.245,54283,51939,UDP,943,Control,FTP,Quas neque nostrum accusantium modi consectetur. Doloribus esse assumenda exercitationem nisi pariatur.,,45.8,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Prerak Karpe,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/10.5c7168.0 Mobile/95T106 Safari/533.1",Segment A,"Shahjahanpur, Rajasthan",192.157.119.249,Log Data,Alert Data,Firewall,2026-03-26 15:03:54
2020-02-03 17:25:34,132.192.118.220,80.38.53.8,2477,32488,TCP,1470,Control,DNS,"Amet sequi minus architecto porro harum ratione repellat. Culpa recusandae dolor fugiat nihil.
Itaque iure porro unde aliquam aliquam vitae. Nihil doloribus at veniam iure cupiditate voluptatum.",IoC Detected,31.67,,Intrusion,Known Pattern A,Blocked,High,Inaaya  Salvi,Mozilla/5.0 (Windows NT 6.0; ig-NG; rv:1.9.1.20) Gecko/2112-08-09 23:49:12 Firefox/14.0,Segment B,"Hubli–Dharwad, Odisha",,,Alert Data,Server,2026-03-26 15:03:54
2021-12-10 09:21:09,213.118.178.243,171.39.11.52,25865,25499,UDP,477,Control,FTP,Explicabo perspiciatis ratione provident quaerat animi ex. Cupiditate maiores labore dolorem modi magni sit iste. Iure omnis unde velit dolorum.,IoC Detected,9.32,,Intrusion,Known Pattern B,Blocked,Low,Aayush Bava,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2553-08-22 19:51:26 Firefox/3.6.10,Segment B,"Buxar, Mizoram",,Log Data,Alert Data,Firewall,2026-03-26 15:03:55
2020-06-15 17:46:38,65.0.218.239,65.218.81.165,24516,30449,UDP,1366,Data,FTP,Neque quia eveniet fugit ullam minima nemo incidunt. Pariatur impedit sed maiores fuga earum animi distinctio.,IoC Detected,7.67,Alert Triggered,Intrusion,Known Pattern B,Logged,Low,Navya Sagar,"Mozilla/5.0 (Linux; Android 9) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/40.0.854.0 Safari/536.0",Segment C,"Pali, Rajasthan",26.190.29.5,Log Data,,Firewall,2026-03-26 15:03:55
2021-01-22 08:01:32,218.103.216.152,13.131.243.132,38164,5512,ICMP,414,Control,FTP,At error doloremque asperiores. Odio cumque possimus quaerat ut nulla molestiae accusamus. Perferendis eum libero rem nesciunt temporibus.,,14.44,Alert Triggered,DDoS,Known Pattern B,Blocked,High,Vihaan Kota,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/44.0.892.0 Safari/534.1",Segment C,"Gwalior, Meghalaya",1.67.126.216,,Alert Data,Firewall,2026-03-26 15:03:55
2022-04-02 07:54:14,88.183.2.86,194.246.28.12,16295,15937,UDP,422,Data,DNS,"Autem nihil eveniet pariatur officia nobis. Excepturi animi iure.
Ad placeat molestiae placeat voluptates. Occaecati quis inventore. Rerum vero distinctio perferendis error.",IoC Detected,54.69,Alert Triggered,Malware,Known Pattern B,Logged,High,Vritika Tara,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_1) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/16.0.821.0 Safari/534.1",Segment B,"Hubli–Dharwad, Uttar Pradesh",,,Alert Data,Server,2026-03-26 15:03:55
2021-05-27 13:05:46,82.128.230.74,207.117.191.200,27880,39023,UDP,1158,Data,FTP,Quaerat voluptatum eligendi soluta. Corrupti ipsa nobis veritatis ipsam. Ducimus minus placeat odit quidem vel. Itaque iure ad sunt quod non.,,80.44,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Aniruddh Edwin,Opera/8.70.(Windows CE; af-ZA) Presto/2.9.184 Version/11.00,Segment B,"Ghaziabad, Andhra Pradesh",90.200.115.81,,,Firewall,2026-03-26 15:03:55
2021-12-10 09:48:50,153.13.191.125,110.149.229.184,55635,61515,ICMP,1400,Control,HTTP,"Odit eveniet dolor amet porro non. Odio culpa pariatur.
Et ipsum sit dignissimos magni perspiciatis. Neque distinctio at molestias harum. Hic cum minima neque corrupti.",,31.39,,Malware,Known Pattern A,Logged,Low,Keya Swaminathan,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_6; rv:1.9.6.20) Gecko/7619-06-14 13:18:56 Firefox/15.0,Segment C,"Noida, Meghalaya",84.153.19.18,Log Data,Alert Data,Server,2026-03-26 15:03:56
2022-06-02 21:30:35,177.184.105.250,201.212.62.209,48348,3595,ICMP,1067,Control,HTTP,Repellat esse laudantium delectus. Saepe ullam possimus dicta at provident.,,93.03,Alert Triggered,Malware,Known Pattern A,Ignored,Low,Sana Karan,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/28.0.868.0 Mobile/73T859 Safari/532.0",Segment A,"Kirari Suleman Nagar, Madhya Pradesh",,Log Data,Alert Data,Firewall,2026-03-26 15:03:56
2020-06-14 16:26:39,187.22.10.187,173.200.253.28,6470,39219,TCP,1443,Control,FTP,"Reprehenderit nihil mollitia voluptatibus cumque. Dicta quis voluptate cum. Ea eveniet aliquam distinctio recusandae ipsam.
Quia esse harum exercitationem.",,29.53,,Intrusion,Known Pattern A,Ignored,High,Anahi Gera,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7 rv:2.0; tr-TR) AppleWebKit/533.23.5 (KHTML, like Gecko) Version/4.0.2 Safari/533.23.5",Segment B,"Phusro, Andhra Pradesh",188.216.38.22,,Alert Data,Firewall,2026-03-26 15:03:56
2022-06-07 19:35:44,48.251.112.145,198.185.228.219,26742,13439,UDP,318,Data,HTTP,"Possimus veritatis optio ipsum temporibus ut. Necessitatibus ea vero quaerat ipsam.
Cum ducimus laborum error ipsum consequatur. Nisi deleniti debitis similique. Optio consequuntur blanditiis unde.",IoC Detected,65.45,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Anya Kakar,Opera/9.24.(X11; Linux i686; fil-PH) Presto/2.9.176 Version/12.00,Segment B,"Jamshedpur, Arunachal Pradesh",,Log Data,Alert Data,Firewall,2026-03-26 15:03:56
2022-01-09 15:39:19,32.18.84.144,154.120.103.118,63427,54519,TCP,1440,Data,HTTP,Non ex ipsa labore natus facilis quidem. Debitis nesciunt sapiente voluptatem quae nulla fugiat. Aperiam itaque sit quis repudiandae sunt reprehenderit officiis.,,79.17,,DDoS,Known Pattern A,Logged,Medium,Advika Lata,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/57.0.850.0 Mobile/99H326 Safari/532.2",Segment C,"Rajpur Sonarpur, Maharashtra",,Log Data,Alert Data,Server,2026-03-26 15:03:56
2022-01-31 18:50:48,116.24.75.197,169.181.7.92,1032,47502,ICMP,805,Control,DNS,"Unde eum numquam quo vitae accusamus tempore. Error voluptas asperiores amet consequuntur quas distinctio.
Quo veniam tenetur minima labore ab velit.",IoC Detected,13.1,,DDoS,Known Pattern A,Logged,Low,Urvi Mane,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2192-10-04 22:59:09 Firefox/10.0,Segment A,"Kochi, Uttarakhand",31.48.30.252,Log Data,Alert Data,Firewall,2026-03-26 15:03:57
2020-04-26 19:45:35,179.169.125.103,195.158.83.18,56099,11308,ICMP,1255,Control,DNS,Ut dignissimos labore a. Eaque placeat expedita voluptatibus perspiciatis dolor deleniti. Vitae repellendus possimus.,,69.97,Alert Triggered,Malware,Known Pattern A,Blocked,Medium,Indrans Sibal,"Mozilla/5.0 (Linux; Android 9) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/53.0.881.0 Safari/531.0",Segment C,"Mangalore, Uttar Pradesh",205.0.169.54,,,Server,2026-03-26 15:03:57
2022-08-23 11:02:56,178.58.124.66,184.57.66.79,18223,21031,ICMP,1409,Data,DNS,Officia unde omnis omnis necessitatibus voluptas magnam. Molestias sapiente ipsum dolor facilis iste. Inventore mollitia soluta accusamus cupiditate ratione vitae.,IoC Detected,70.74,,Intrusion,Known Pattern A,Logged,Low,Rasha Ratti,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/535.47.2 (KHTML, like Gecko) Version/5.0.2 Safari/535.47.2",Segment B,"Kharagpur, Arunachal Pradesh",23.75.179.175,,,Firewall,2026-03-26 15:03:57
2023-07-05 02:41:46,67.77.46.239,85.249.248.155,50677,55000,TCP,1481,Data,DNS,"Temporibus illum ad. Inventore distinctio esse porro corrupti iure nesciunt.
Officia consequuntur aspernatur exercitationem sapiente. Vitae repudiandae saepe odio fugiat.",IoC Detected,50.46,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Taran Iyengar,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; uz-UZ) AppleWebKit/533.21.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6533.21.4",Segment C,"Ludhiana, Arunachal Pradesh",,Log Data,Alert Data,Firewall,2026-03-26 15:03:57
2021-11-17 01:18:27,9.255.214.18,134.57.184.163,23279,37025,ICMP,1098,Data,DNS,Enim necessitatibus distinctio voluptatum explicabo vitae autem. Iure quia distinctio aspernatur quae. Ducimus dicta praesentium temporibus recusandae eligendi labore repudiandae.,,83.85,,DDoS,Known Pattern A,Blocked,Medium,Keya Brahmbhatt,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; hy-AM) AppleWebKit/535.30.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6535.30.4",Segment B,"Patiala, Nagaland",,,,Server,2026-03-26 15:03:57
2020-03-18 21:00:28,20.142.126.84,104.245.114.132,10701,39157,TCP,530,Data,HTTP,Odit laboriosam tempore ab. Cum rem dignissimos odit dolore labore. Atque nostrum natus fuga amet est eaque.,,94.2,,DDoS,Known Pattern A,Blocked,Low,Kashvi Bahri,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/3.0),Segment A,"Ambala, Telangana",,Log Data,,Firewall,2026-03-26 15:03:58
2023-04-02 18:55:01,3.203.108.225,26.158.92.46,5163,8136,ICMP,773,Control,FTP,"Et corrupti fugit iusto totam sed. Dicta ab amet in.
Ipsum itaque similique a assumenda. Porro doloremque nobis distinctio at. Veritatis rem eaque facilis.
Maxime aliquid adipisci.",IoC Detected,16.39,Alert Triggered,DDoS,Known Pattern A,Logged,Medium,Zara Manda,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; brx-IN) AppleWebKit/533.30.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.30.3",Segment C,"Kumbakonam, Rajasthan",,Log Data,,Firewall,2026-03-26 15:03:58
2022-07-07 23:13:39,159.44.69.17,206.61.79.189,31617,24034,UDP,1115,Control,FTP,"Iusto minus expedita voluptate. Et nam nostrum similique.
Neque vel molestias officiis earum eius repellat.
Fugit unde consectetur in possimus iusto eveniet. Dolores sapiente omnis natus repellendus.",,55.08,Alert Triggered,Intrusion,Known Pattern B,Blocked,Medium,Anay Sane,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ts-ZA) AppleWebKit/535.27.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6535.27.3",Segment A,"Bhavnagar, Haryana",,Log Data,Alert Data,Firewall,2026-03-26 15:03:58
2021-09-16 16:36:48,139.91.144.241,209.18.6.189,58035,27225,UDP,1307,Data,DNS,"Dolore maiores sint totam.
Ullam iusto ullam aliquid magni explicabo occaecati. Voluptas modi quibusdam sed quae. Facere aliquid nostrum porro neque.",,73.23,Alert Triggered,Intrusion,Known Pattern B,Logged,Low,Khushi Raj,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/5.1),Segment C,"Raebareli, Bihar",,Log Data,Alert Data,Server,2026-03-26 15:03:58
2022-06-20 15:02:05,122.202.70.23,119.186.147.161,10321,32363,ICMP,1426,Data,HTTP,Quas quod tempore reprehenderit laborum deleniti. Eum et quo corporis eveniet vitae. Sint ut incidunt asperiores culpa explicabo.,,36.39,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Tejas Sheth,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/3.0),Segment A,"Medininagar, Tamil Nadu",,,Alert Data,Server,2026-03-26 15:03:58
2021-01-06 19:42:57,165.76.129.183,123.7.53.35,51387,37510,UDP,400,Control,HTTP,"Inventore commodi placeat facilis magnam. Occaecati laborum reiciendis voluptate hic quaerat veritatis.
Officiis itaque amet hic autem aperiam.",IoC Detected,44.61,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Anahita Contractor,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/4.0),Segment A,"Unnao, Maharashtra",,Log Data,Alert Data,Firewall,2026-03-26 15:03:59
2021-07-17 21:37:46,109.184.214.27,52.254.55.214,44520,55141,UDP,103,Data,HTTP,Enim maiores in iste. Distinctio impedit neque cupiditate accusamus qui blanditiis. Reiciendis accusantium unde alias dolor. Natus est deleniti excepturi ab aliquid libero.,,99.82,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,Navya Dora,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ro-RO) AppleWebKit/535.10.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6535.10.6",Segment A,"Bhubaneswar, Himachal Pradesh",82.26.243.85,,,Firewall,2026-03-26 15:03:59
2021-08-06 05:26:32,118.104.18.95,148.148.187.154,54633,54622,UDP,235,Data,DNS,Repellendus illum ea odio occaecati. Ipsa est reiciendis ea nesciunt cumque tempore.,,42.12,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Jayan Sane,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.11.1 (KHTML, like Gecko) Version/4.1 Safari/533.11.1",Segment C,"Munger, Chhattisgarh",,,Alert Data,Firewall,2026-03-26 15:03:59
2023-03-06 23:16:44,157.102.154.4,156.241.117.40,5276,7403,ICMP,1200,Data,DNS,"Assumenda a est omnis. Enim illum repudiandae quae voluptas. Iure repellat quas officiis cum.
Iste nulla iste ipsam. Ut ex ad aut temporibus.",,86.01,,DDoS,Known Pattern A,Blocked,Low,Tiya Sathe,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/7048-07-07 08:56:22 Firefox/3.8,Segment C,"Kulti, Uttarakhand",181.18.44.75,Log Data,,Server,2026-03-26 15:03:59
2020-03-19 04:36:08,22.81.99.103,152.170.14.72,52778,17397,ICMP,240,Data,FTP,"Maiores recusandae velit exercitationem. Officiis modi repellat.
A eveniet eum occaecati illo. Aliquid omnis ut veniam dolorum quibusdam libero. Eaque repellat similique aut laudantium voluptates.",,70.27,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Ritvik Salvi,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/32.0.845.0 Mobile/93M241 Safari/534.0",Segment B,"Raichur, Punjab",221.59.175.201,Log Data,,Firewall,2026-03-26 15:03:59
2020-02-09 03:50:06,99.132.181.84,120.234.121.72,40442,48117,UDP,1042,Control,HTTP,"Dignissimos corrupti dolor reprehenderit incidunt cupiditate. Voluptas vero placeat quo similique facilis consequatur fuga.
Nisi aliquam quos ipsa.",,41.35,,Malware,Known Pattern A,Ignored,High,Bhavin Sani,"Mozilla/5.0 (Linux; Android 2.1) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/51.0.824.0 Safari/531.2",Segment B,"Ramgarh, Rajasthan",51.207.142.224,Log Data,Alert Data,Firewall,2026-03-26 15:04:00
2021-01-26 20:42:49,67.77.226.153,173.200.182.152,52857,42788,ICMP,239,Control,HTTP,Non distinctio consequuntur labore. Doloribus nihil non ipsum laborum nam excepturi qui.,IoC Detected,61.88,Alert Triggered,Intrusion,Known Pattern A,Logged,Medium,Emir Issac,Mozilla/5.0 (Windows CE; lg-UG; rv:1.9.0.20) Gecko/6137-04-12 02:46:46 Firefox/3.8,Segment C,"Varanasi, Maharashtra",,,Alert Data,Server,2026-03-26 15:04:00
2022-01-21 20:22:37,167.13.237.140,56.129.136.221,51116,7405,UDP,1331,Control,FTP,Ut repellendus ut alias consequuntur pariatur. Minima ipsam quasi illo. Aspernatur accusamus quaerat deserunt quod harum labore.,IoC Detected,51.39,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Urvi Basu,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/37.0.801.0 Mobile/93C236 Safari/533.2",Segment C,"Delhi, Meghalaya",193.239.190.240,,,Firewall,2026-03-26 15:04:00
2021-01-25 03:04:40,36.226.69.68,186.196.132.128,57322,43760,TCP,1112,Data,FTP,Facilis eos doloribus consectetur asperiores quae earum nam. Corporis qui similique expedita neque velit quia. Rerum recusandae sed ipsum odio esse.,,59.4,Alert Triggered,Malware,Known Pattern A,Ignored,Low,Nishith Barman,Opera/8.98.(Windows 98; it-CH) Presto/2.9.167 Version/12.00,Segment B,"Solapur, Andhra Pradesh",,,,Server,2026-03-26 15:04:00
